iter	Passed	Remaining
1350	63835	77916
1351	63881	77867
1352	63928	77819
1353	63977	77775
1354	64016	77717
1355	64060	77666
1356	64108	77619
1357	64156	77573
1358	64203	77525
1359	64247	77474
1360	64293	77426
1361	64338	77376
1362	64383	77326
1363	64428	77275
1364	64475	77229
1365	64523	77182
1366	64570	77135
1367	64617	77087
1368	64662	77037
1369	64706	76986
1370	64751	76937
1371	64799	76890
1372	64837	76832
1373	64884	76784
1374	64929	76734
1375	64974	76685
1376	65020	76636
1377	65066	76587
1378	65113	76540
1379	65158	76490
1380	65204	76441
1381	65252	76395
1382	65305	76355
1383	65355	76310
1384	65401	76262
1385	65449	76215
1386	65494	76166
1387	65540	76118
1388	65586	76069
1389	65633	76021
1390	65681	75974
1391	65728	75928
1392	65777	75882
1393	65822	75833
1394	65870	75786
1395	65916	75738
1396	65963	75690
1397	66011	75644
1398	66056	75594
1399	66094	75537
1400	66140	75488
1401	66188	75441
1402	66235	75394
1403	66286	75350
1404	66332	75302
1405	66380	75256
1406	66427	75208
1407	66472	75159
1408	66519	75112
1409	66567	75064
1410	66616	75020
1411	66663	74972
1412	66707	74921
1413	66755	74876
1414	66805	74831
1415	66853	74785
1416	66900	74738
1417	66946	74689
1418	66991	74639
1419	67038	74591
1420	67084	74543
1421	67129	74493
1422	67176	74445
1423	67223	74398
1424	67270	74352
1425	67316	74303
1426	67363	74255
1427	67418	74216
1428	67469	74173
1429	67521	74132
1430	67568	74084
1431	67613	74034
1432	67659	73985
1433	67706	73939
1434	67752	73890
1435	67800	73843
1436	67844	73792
1437	67890	73744
1438	67934	73693
1439	67982	73647
1440	68026	73597
1441	68072	73548
1442	68117	73498
1443	68164	73452
1444	68211	73403
1445	68249	73346
1446	68295	73298
1447	68343	73251
1448	68389	73203
1449	68435	73154
1450	68484	73109
1451	68529	73060
1452	68578	73015
1453	68624	72966
1454	68670	72917
1455	68719	72872
1456	68764	72822
1457	68814	72779
1458	68859	72729
1459	68904	72680
1460	68952	72633
1461	68999	72586
1462	69046	72539
1463	69093	72491
1464	69138	72442
1465	69174	72382
1466	69220	72334
1467	69267	72286
1468	69316	72242
1469	69363	72194
1470	69410	72147
1471	69456	72099
1472	69503	72051
1473	69551	72004
1474	69597	71956
1475	69644	71908
1476	69690	71860
1477	69735	71811
1478	69785	71766
1479	69829	71716
1480	69882	71675
1481	69930	71629
1482	69975	71579
1483	70021	71531
1484	70070	71485
1485	70117	71438
1486	70164	71391
1487	70210	71343
1488	70249	71287
1489	70297	71240
1490	70344	71193
1491	70392	71147
1492	70439	71100
1493	70484	71051
1494	70534	71006
1495	70581	70958
1496	70627	70910
1497	70673	70862
1498	70718	70812
1499	70764	70764
1500	70810	70715
1501	70858	70670
1502	70905	70621
1503	70952	70574
1504	70997	70526
1505	71043	70477
1506	71090	70430
1507	71136	70381
1508	71183	70334
1509	71230	70287
1510	71277	70239
1511	71324	70192
1512	71375	70148
1513	71421	70100
1514	71461	70046
1515	71509	70000
1516	71547	69943
1517	71598	69900
1518	71645	69852
1519	71692	69806
1520	71738	69757
1521	71787	69711
1522	71832	69663
1523	71879	69615
1524	71929	69571
1525	71977	69524
1526	72024	69477
1527	72073	69432
1528	72119	69384
1529	72166	69336
1530	72211	69286
1531	72259	69241
1532	72309	69195
1533	72354	69147
1534	72412	69110
1535	72459	69063
1536	72510	69019
1537	72566	68980
1538	72615	68934
1539	72662	68887
1540	72708	68839
1541	72752	68789
1542	72800	68742
1543	72845	68693
1544	72892	68646
1545	72937	68596
1546	72984	68549
1547	73030	68501
1548	73079	68456
1549	73127	68409
1550	73174	68362
1551	73220	68314
1552	73267	68266
1553	73313	68218
1554	73367	68177
1555	73409	68125
1556	73460	68082
1557	73506	68033
1558	73553	67985
1559	73599	67937
1560	73641	67885
1561	73687	67838
1562	73735	67790
1563	73789	67750
1564	73834	67701
1565	73878	67651
1566	73914	67594
1567	73961	67546
1568	74009	67499
1569	74054	67451
1570	74101	67403
1571	74149	67357
1572	74195	67309
1573	74243	67262
1574	74289	67213
1575	74335	67165
1576	74393	67128
1577	74441	67082
1578	74490	67036
1579	74541	66992
1580	74586	66943
1581	74630	66894
1582	74674	66844
1583	74720	66795
1584	74764	66745
1585	74810	66697
1586	74856	66648
1587	74902	66600
1588	74947	66552
1589	74996	66506
1590	75041	66456
1591	75088	66409
1592	75133	66360
1593	75178	66311
1594	75224	66263
1595	75272	66217
1596	75319	66170
1597	75368	66124
1598	75414	66076
1599	75460	66028
1600	75509	65982
1601	75555	65934
1602	75606	65890
1603	75654	65844
1604	75701	65796
1605	75746	65747
1606	75792	65699
1607	75837	65650
1608	75883	65602
1609	75928	65553
1610	75973	65504
1611	76023	65459
1612	76070	65412
1613	76116	65364
1614	76163	65316
1615	76209	65268
1616	76255	65220
1617	76300	65171
1618	76347	65123
1619	76396	65078
1620	76441	65029
1621	76487	64981
1622	76534	64934
1623	76584	64889
1624	76631	64841
1625	76677	64793
1626	76724	64746
1627	76770	64698
1628	76815	64649
1629	76859	64599
1630	76906	64552
1631	76952	64504
1632	76999	64456
1633	77045	64409
1634	77083	64354
1635	77130	64307
1636	77177	64259
1637	77223	64211
1638	77271	64165
1639	77319	64118
1640	77366	64071
1641	77413	64023
1642	77461	63977
1643	77507	63929
1644	77553	63881
1645	77604	63837
1646	77653	63791
1647	77706	63749
1648	77754	63703
1649	77806	63660
1650	77856	63614
1651	77907	63570
1652	77955	63524
1653	78014	63486
1654	78066	63444
1655	78119	63401
1656	78167	63354
1657	78219	63311
1658	78270	63267
1659	78322	63224
